CBSA;Metro;Year;Population;PercentChng_1960;PercentChng_1990;PercentChng_2000;PercentChng_2010;Source
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;1,998;8,949,190;28;9;0;0;PopEst00
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;1,999;9,035,654;29;10;0;0;PopEst00
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,000;9,098,316;30;11;0;0;DecennialCensus
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,001;9,169,580;31;12;1;0;PopEst10
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,002;9,206,032;31;13;1;0;PopEst10
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,003;9,233,303;32;13;1;0;PopEst10
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,004;9,260,676;32;13;2;0;PopEst10
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,005;9,276,302;32;13;2;0;PopEst10
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,006;9,297,749;33;14;2;0;PopEst10
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,007;9,337,140;33;14;3;0;PopEst10
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,008;9,384,555;34;15;3;0;PopEst10
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,009;9,429,498;34;15;4;0;PopEst10
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,010;9,461,105;35;16;4;0;DecennialCensus
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,011;9,500,870;35;16;4;0;PopEst20
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,012;9,528,090;36;16;5;1;PopEst20
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,013;9,550,194;36;17;5;1;PopEst20
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,014;9,560,430;36;17;5;1;PopEst20
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,015;9,552,554;36;17;5;1;PopEst20
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,016;9,533,662;36;17;5;1;PopEst20
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,017;9,514,113;36;16;5;1;PopEst20
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,018;9,484,158;35;16;4;0;PopEst20
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,019;9,458,539;35;16;4;0;PopEst20
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,020;9,601,605;37;17;6;1;PopEst21
Chicago-Naperville-Elgin, IL-IN-WI;Chicago;2,021;9,509,934;36;16;5;1;PopEst21
Dallas-Fort Worth-Arlington, TX;Dallas;1,960;1,771,916;0;0;0;0;DecennialCensus
Dallas-Fort Worth-Arlington, TX;Dallas;1,970;2,419,559;37;0;0;0;DecennialCensus
Dallas-Fort Worth-Arlington, TX;Dallas;1,971;2,468,333;39;0;0;0;PopEst80
Dallas-Fort Worth-Arlington, TX;Dallas;1,972;2,483,381;40;0;0;0;PopEst80
Dallas-Fort Worth-Arlington, TX;Dallas;1,973;2,537,123;43;0;0;0;PopEst80
Dallas-Fort Worth-Arlington, TX;Dallas;1,974;2,608,022;47;0;0;0;PopEst80
Dallas-Fort Worth-Arlington, TX;Dallas;1,975;2,654,603;50;0;0;0;PopEst80
Dallas-Fort Worth-Arlington, TX;Dallas;1,976;2,723,552;54;0;0;0;PopEst80
Dallas-Fort Worth-Arlington, TX;Dallas;1,977;2,775,348;57;0;0;0;PopEst80
Dallas-Fort Worth-Arlington, TX;Dallas;1,978;2,841,606;60;0;0;0;PopEst80
Dallas-Fort Worth-Arlington, TX;Dallas;1,979;2,924,273;65;0;0;0;PopEst80
Dallas-Fort Worth-Arlington, TX;Dallas;1,980;3,012,339;70;0;0;0;DecennialCensus
Dallas-Fort Worth-Arlington, TX;Dallas;1,981;3,118,849;76;0;0;0;PopEst90
Dallas-Fort Worth-Arlington, TX;Dallas;1,982;3,231,248;82;0;0;0;PopEst90
Dallas-Fort Worth-Arlington, TX;Dallas;1,983;3,340,544;89;0;0;0;PopEst90
Dallas-Fort Worth-Arlington, TX;Dallas;1,984;3,456,121;95;0;0;0;PopEst90
Dallas-Fort Worth-Arlington, TX;Dallas;1,985;3,596,192;103;0;0;0;PopEst90
Dallas-Fort Worth-Arlington, TX;Dallas;1,986;3,731,894;111;0;0;0;PopEst90
Dallas-Fort Worth-Arlington, TX;Dallas;1,987;3,814,660;115;0;0;0;PopEst90
Dallas-Fort Worth-Arlington, TX;Dallas;1,988;3,858,992;118;0;0;0;PopEst90
Dallas-Fort Worth-Arlington, TX;Dallas;1,989;3,917,863;121;0;0;0;PopEst90
Dallas-Fort Worth-Arlington, TX;Dallas;1,990;3,984,437;125;0;0;0;DecennialCensus
Dallas-Fort Worth-Arlington, TX;Dallas;1,991;4,109,324;132;3;0;0;PopEst00
Dallas-Fort Worth-Arlington, TX;Dallas;1,992;4,194,301;137;5;0;0;PopEst00
Dallas-Fort Worth-Arlington, TX;Dallas;1,993;4,284,857;142;8;0;0;PopEst00
Dallas-Fort Worth-Arlington, TX;Dallas;1,994;4,388,097;148;10;0;0;PopEst00
Dallas-Fort Worth-Arlington, TX;Dallas;1,995;4,496,174;154;13;0;0;PopEst00
Dallas-Fort Worth-Arlington, TX;Dallas;1,996;4,622,564;161;16;0;0;PopEst00
Dallas-Fort Worth-Arlington, TX;Dallas;1,997;4,765,255;169;20;0;0;PopEst00
Dallas-Fort Worth-Arlington, TX;Dallas;1,998;4,912,807;177;23;0;0;PopEst00
Dallas-Fort Worth-Arlington, TX;Dallas;1,999;5,054,705;185;27;0;0;PopEst00
Dallas-Fort Worth-Arlington, TX;Dallas;2,000;5,156,217;191;29;0;0;DecennialCensus
Dallas-Fort Worth-Arlington, TX;Dallas;2,001;5,326,971;201;34;3;0;PopEst10
Dallas-Fort Worth-Arlington, TX;Dallas;2,002;5,432,371;207;36;5;0;PopEst10
Dallas-Fort Worth-Arlington, TX;Dallas;2,003;5,523,937;212;39;7;0;PopEst10
Dallas-Fort Worth-Arlington, TX;Dallas;2,004;5,613,420;217;41;9;0;PopEst10
Dallas-Fort Worth-Arlington, TX;Dallas;2,005;5,722,444;223;44;11;0;PopEst10
Dallas-Fort Worth-Arlington, TX;Dallas;2,006;5,886,950;232;48;14;0;PopEst10
Dallas-Fort Worth-Arlington, TX;Dallas;2,007;6,025,041;240;51;17;0;PopEst10
Dallas-Fort Worth-Arlington, TX;Dallas;2,008;6,152,770;247;54;19;0;PopEst10
Dallas-Fort Worth-Arlington, TX;Dallas;2,009;6,282,484;255;58;22;0;PopEst10
Dallas-Fort Worth-Arlington, TX;Dallas;2,010;6,366,542;259;60;23;0;DecennialCensus
Dallas-Fort Worth-Arlington, TX;Dallas;2,011;6,510,544;267;63;26;2;PopEst20
Dallas-Fort Worth-Arlington, TX;Dallas;2,012;6,644,559;275;67;29;4;PopEst20
Dallas-Fort Worth-Arlington, TX;Dallas;2,013;6,753,889;281;70;31;6;PopEst20
Dallas-Fort Worth-Arlington, TX;Dallas;2,014;6,889,769;289;73;34;8;PopEst20
Dallas-Fort Worth-Arlington, TX;Dallas;2,015;7,042,566;297;77;37;11;PopEst20
Dallas-Fort Worth-Arlington, TX;Dallas;2,016;7,194,758;306;81;40;13;PopEst20
Dallas-Fort Worth-Arlington, TX;Dallas;2,017;7,337,097;314;84;42;15;PopEst20
Dallas-Fort Worth-Arlington, TX;Dallas;2,018;7,455,756;321;87;45;17;PopEst20
Dallas-Fort Worth-Arlington, TX;Dallas;2,019;7,573,136;327;90;47;19;PopEst20
Dallas-Fort Worth-Arlington, TX;Dallas;2,020;7,662,325;332;92;49;20;PopEst21
Dallas-Fort Worth-Arlington, TX;Dallas;2,021;7,759,615;338;95;50;22;PopEst21
Denver-Aurora-Lakewood, CO;Denver;1,960;868,953;0;0;0;0;DecennialCensus
Denver-Aurora-Lakewood, CO;Denver;1,970;1,116,226;28;0;0;0;DecennialCensus
Denver-Aurora-Lakewood, CO;Denver;1,971;1,162,752;34;0;0;0;PopEst80
Denver-Aurora-Lakewood, CO;Denver;1,972;1,205,728;39;0;0;0;PopEst80
Denver-Aurora-Lakewood, CO;Denver;1,973;1,247,879;44;0;0;0;PopEst80
Denver-Aurora-Lakewood, CO;Denver;1,974;1,262,790;45;0;0;0;PopEst80
Denver-Aurora-Lakewood, CO;Denver;1,975;1,285,563;48;0;0;0;PopEst80
Denver-Aurora-Lakewood, CO;Denver;1,976;1,316,552;52;0;0;0;PopEst80
Denver-Aurora-Lakewood, CO;Denver;1,977;1,343,657;55;0;0;0;PopEst80
Denver-Aurora-Lakewood, CO;Denver;1,978;1,390,232;60;0;0;0;PopEst80
Denver-Aurora-Lakewood, CO;Denver;1,979;1,432,046;65;0;0;0;PopEst80
Denver-Aurora-Lakewood, CO;Denver;1,980;1,450,768;67;0;0;0;DecennialCensus
Denver-Aurora-Lakewood, CO;Denver;1,981;1,497,995;72;0;0;0;PopEst90
Denver-Aurora-Lakewood, CO;Denver;1,982;1,541,283;77;0;0;0;PopEst90
Denver-Aurora-Lakewood, CO;Denver;1,983;1,578,685;82;0;0;0;PopEst90
Denver-Aurora-Lakewood, CO;Denver;1,984;1,600,242;84;0;0;0;PopEst90
Denver-Aurora-Lakewood, CO;Denver;1,985;1,623,118;87;0;0;0;PopEst90
Denver-Aurora-Lakewood, CO;Denver;1,986;1,637,266;88;0;0;0;PopEst90
Denver-Aurora-Lakewood, CO;Denver;1,987;1,644,581;89;0;0;0;PopEst90
Denver-Aurora-Lakewood, CO;Denver;1,988;1,638,278;89;0;0;0;PopEst90
Denver-Aurora-Lakewood, CO;Denver;1,989;1,639,412;89;0;0;0;PopEst90
Denver-Aurora-Lakewood, CO;Denver;1,990;1,650,489;90;0;0;0;DecennialCensus
Denver-Aurora-Lakewood, CO;Denver;1,991;1,702,298;96;3;0;0;PopEst00
Denver-Aurora-Lakewood, CO;Denver;1,992;1,760,945;103;7;0;0;PopEst00
Denver-Aurora-Lakewood, CO;Denver;1,993;1,819,298;109;10;0;0;PopEst00
Denver-Aurora-Lakewood, CO;Denver;1,994;1,862,948;114;13;0;0;PopEst00
Denver-Aurora-Lakewood, CO;Denver;1,995;1,910,680;120;16;0;0;PopEst00
Denver-Aurora-Lakewood, CO;Denver;1,996;1,959,552;126;19;0;0;PopEst00
Denver-Aurora-Lakewood, CO;Denver;1,997;2,012,227;132;22;0;0;PopEst00
Denver-Aurora-Lakewood, CO;Denver;1,998;2,061,091;137;25;0;0;PopEst00
Denver-Aurora-Lakewood, CO;Denver;1,999;2,118,555;144;28;0;0;PopEst00
Denver-Aurora-Lakewood, CO;Denver;2,000;2,157,756;148;31;0;0;DecennialCensus
Denver-Aurora-Lakewood, CO;Denver;2,001;2,241,381;158;36;4;0;PopEst10
Denver-Aurora-Lakewood, CO;Denver;2,002;2,266,781;161;37;5;0;PopEst10
Denver-Aurora-Lakewood, CO;Denver;2,003;2,284,876;163;38;6;0;PopEst10
Denver-Aurora-Lakewood, CO;Denver;2,004;2,304,818;165;40;7;0;PopEst10
Denver-Aurora-Lakewood, CO;Denver;2,005;2,332,749;168;41;8;0;PopEst10
Denver-Aurora-Lakewood, CO;Denver;2,006;2,374,194;173;44;10;0;PopEst10
Denver-Aurora-Lakewood, CO;Denver;2,007;2,418,686;178;47;12;0;PopEst10
Denver-Aurora-Lakewood, CO;Denver;2,008;2,463,971;184;49;14;0;PopEst10
Denver-Aurora-Lakewood, CO;Denver;2,009;2,509,417;189;52;16;0;PopEst10
Denver-Aurora-Lakewood, CO;Denver;2,010;2,543,482;193;54;18;0;DecennialCensus
Denver-Aurora-Lakewood, CO;Denver;2,011;2,602,918;200;58;21;2;PopEst20
Denver-Aurora-Lakewood, CO;Denver;2,012;2,650,274;205;61;23;4;PopEst20
Denver-Aurora-Lakewood, CO;Denver;2,013;2,700,529;211;64;25;6;PopEst20
Denver-Aurora-Lakewood, CO;Denver;2,014;2,753,973;217;67;28;8;PopEst20
Denver-Aurora-Lakewood, CO;Denver;2,015;2,812,896;224;70;30;11;PopEst20
Denver-Aurora-Lakewood, CO;Denver;2,016;2,856,755;229;73;32;12;PopEst20
Denver-Aurora-Lakewood, CO;Denver;2,017;2,891,776;233;75;34;14;PopEst20
Denver-Aurora-Lakewood, CO;Denver;2,018;2,931,665;237;78;36;15;PopEst20
Denver-Aurora-Lakewood, CO;Denver;2,019;2,967,239;241;80;38;17;PopEst20
Denver-Aurora-Lakewood, CO;Denver;2,020;2,969,289;242;80;38;17;PopEst21
Denver-Aurora-Lakewood, CO;Denver;2,021;2,972,566;242;80;38;17;PopEst21
Detroit-Warren-Dearborn, MI;Detroit;1,960;3,949,720;0;0;0;0;DecennialCensus
Detroit-Warren-Dearborn, MI;Detroit;1,970;4,431,390;12;0;0;0;DecennialCensus
Detroit-Warren-Dearborn, MI;Detroit;1,971;4,459,766;13;0;0;0;PopEst80
Detroit-Warren-Dearborn, MI;Detroit;1,972;4,453,499;13;0;0;0;PopEst80
Detroit-Warren-Dearborn, MI;Detroit;1,973;4,435,768;12;0;0;0;PopEst80
Detroit-Warren-Dearborn, MI;Detroit;1,974;4,422,065;12;0;0;0;PopEst80
Detroit-Warren-Dearborn, MI;Detroit;1,975;4,394,443;11;0;0;0;PopEst80
Detroit-Warren-Dearborn, MI;Detroit;1,976;4,361,561;10;0;0;0;PopEst80
Detroit-Warren-Dearborn, MI;Detroit;1,977;4,351,969;10;0;0;0;PopEst80
Detroit-Warren-Dearborn, MI;Detroit;1,978;4,356,610;10;0;0;0;PopEst80
Detroit-Warren-Dearborn, MI;Detroit;1,979;4,356,801;10;0;0;0;PopEst80
Detroit-Warren-Dearborn, MI;Detroit;1,980;4,353,413;10;0;0;0;DecennialCensus
Detroit-Warren-Dearborn, MI;Detroit;1,981;4,275,745;8;0;0;0;PopEst90
Detroit-Warren-Dearborn, MI;Detroit;1,982;4,223,103;7;0;0;0;PopEst90
Detroit-Warren-Dearborn, MI;Detroit;1,983;4,185,050;6;0;0;0;PopEst90
Detroit-Warren-Dearborn, MI;Detroit;1,984;4,182,756;6;0;0;0;PopEst90
Detroit-Warren-Dearborn, MI;Detroit;1,985;4,195,984;6;0;0;0;PopEst90
Detroit-Warren-Dearborn, MI;Detroit;1,986;4,219,758;7;0;0;0;PopEst90
Detroit-Warren-Dearborn, MI;Detroit;1,987;4,241,506;7;0;0;0;PopEst90
Detroit-Warren-Dearborn, MI;Detroit;1,988;4,234,092;7;0;0;0;PopEst90
Detroit-Warren-Dearborn, MI;Detroit;1,989;4,237,899;7;0;0;0;PopEst90
Detroit-Warren-Dearborn, MI;Detroit;1,990;4,248,699;8;0;0;0;DecennialCensus
Detroit-Warren-Dearborn, MI;Detroit;1,991;4,285,663;9;1;0;0;PopEst00
Detroit-Warren-Dearborn, MI;Detroit;1,992;4,319,806;9;2;0;0;PopEst00
Detroit-Warren-Dearborn, MI;Detroit;1,993;4,344,712;10;2;0;0;PopEst00
Detroit-Warren-Dearborn, MI;Detroit;1,994;4,365,423;11;3;0;0;PopEst00
Detroit-Warren-Dearborn, MI;Detroit;1,995;4,399,746;11;4;0;0;PopEst00
Detroit-Warren-Dearborn, MI;Detroit;1,996;4,433,102;12;4;0;0;PopEst00
Detroit-Warren-Dearborn, MI;Detroit;1,997;4,440,400;12;5;0;0;PopEst00
Detroit-Warren-Dearborn, MI;Detroit;1,998;4,441,717;12;5;0;0;PopEst00
Detroit-Warren-Dearborn, MI;Detroit;1,999;4,447,649;13;5;0;0;PopEst00
Detroit-Warren-Dearborn, MI;Detroit;2,000;4,452,557;13;5;0;0;DecennialCensus
Detroit-Warren-Dearborn, MI;Detroit;2,001;4,461,855;13;5;0;0;PopEst10
Detroit-Warren-Dearborn, MI;Detroit;2,002;4,456,433;13;5;0;0;PopEst10
Detroit-Warren-Dearborn, MI;Detroit;2,003;4,453,371;13;5;0;0;PopEst10
Detroit-Warren-Dearborn, MI;Detroit;2,004;4,445,887;13;5;0;0;PopEst10
Detroit-Warren-Dearborn, MI;Detroit;2,005;4,431,048;12;4;0;0;PopEst10
Detroit-Warren-Dearborn, MI;Detroit;2,006;4,409,697;12;4;-1;0;PopEst10
Detroit-Warren-Dearborn, MI;Detroit;2,007;4,377,116;11;3;-2;0;PopEst10
Detroit-Warren-Dearborn, MI;Detroit;2,008;4,339,504;10;2;-3;0;PopEst10
Detroit-Warren-Dearborn, MI;Detroit;2,009;4,311,728;9;1;-3;0;PopEst10
Detroit-Warren-Dearborn, MI;Detroit;2,010;4,296,250;9;1;-4;0;DecennialCensus
Detroit-Warren-Dearborn, MI;Detroit;2,011;4,291,696;9;1;-4;0;PopEst20
Detroit-Warren-Dearborn, MI;Detroit;2,012;4,300,864;9;1;-3;0;PopEst20
Detroit-Warren-Dearborn, MI;Detroit;2,013;4,305,587;9;1;-3;0;PopEst20
Detroit-Warren-Dearborn, MI;Detroit;2,014;4,311,194;9;1;-3;0;PopEst20
Detroit-Warren-Dearborn, MI;Detroit;2,015;4,309,673;9;1;-3;0;PopEst20
Detroit-Warren-Dearborn, MI;Detroit;2,016;4,316,260;9;2;-3;0;PopEst20
Detroit-Warren-Dearborn, MI;Detroit;2,017;4,321,593;9;2;-3;1;PopEst20
Detroit-Warren-Dearborn, MI;Detroit;2,018;4,322,084;9;2;-3;1;PopEst20
Detroit-Warren-Dearborn, MI;Detroit;2,019;4,319,629;9;2;-3;1;PopEst20
Detroit-Warren-Dearborn, MI;Detroit;2,020;4,385,748;11;3;-2;2;PopEst21
Detroit-Warren-Dearborn, MI;Detroit;2,021;4,365,205;11;3;-2;2;PopEst21
Houston-The Woodlands-Sugar Land, TX;Houston;1,960;1,594,914;0;0;0;0;DecennialCensus
Houston-The Woodlands-Sugar Land, TX;Houston;1,970;2,195,146;38;0;0;0;DecennialCensus
Houston-The Woodlands-Sugar Land, TX;Houston;1,971;2,274,946;43;0;0;0;PopEst80
Houston-The Woodlands-Sugar Land, TX;Houston;1,972;2,333,119;46;0;0;0;PopEst80
Houston-The Woodlands-Sugar Land, TX;Houston;1,973;2,401,819;51;0;0;0;PopEst80
Houston-The Woodlands-Sugar Land, TX;Houston;1,974;2,479,906;55;0;0;0;PopEst80
Houston-The Woodlands-Sugar Land, TX;Houston;1,975;2,587,562;62;0;0;0;PopEst80
Houston-The Woodlands-Sugar Land, TX;Houston;1,976;2,696,160;69;0;0;0;PopEst80
Houston-The Woodlands-Sugar Land, TX;Houston;1,977;2,800,461;76;0;0;0;PopEst80
Houston-The Woodlands-Sugar Land, TX;Houston;1,978;2,915,424;83;0;0;0;PopEst80
Houston-The Woodlands-Sugar Land, TX;Houston;1,979;3,032,581;90;0;0;0;PopEst80
Houston-The Woodlands-Sugar Land, TX;Houston;1,980;3,137,557;97;0;0;0;DecennialCensus
Houston-The Woodlands-Sugar Land, TX;Houston;1,981;3,309,378;107;0;0;0;PopEst90
Houston-The Woodlands-Sugar Land, TX;Houston;1,982;3,504,928;120;0;0;0;PopEst90
Houston-The Woodlands-Sugar Land, TX;Houston;1,983;3,605,395;126;0;0;0;PopEst90
Houston-The Woodlands-Sugar Land, TX;Houston;1,984;3,622,641;127;0;0;0;PopEst90
Houston-The Woodlands-Sugar Land, TX;Houston;1,985;3,628,585;128;0;0;0;PopEst90
Houston-The Woodlands-Sugar Land, TX;Houston;1,986;3,668,133;130;0;0;0;PopEst90
Houston-The Woodlands-Sugar Land, TX;Houston;1,987;3,626,057;127;0;0;0;PopEst90
Houston-The Woodlands-Sugar Land, TX;Houston;1,988;3,615,287;127;0;0;0;PopEst90
Houston-The Woodlands-Sugar Land, TX;Houston;1,989;3,670,096;130;0;0;0;PopEst90
Houston-The Woodlands-Sugar Land, TX;Houston;1,990;3,750,963;135;0;0;0;DecennialCensus
Houston-The Woodlands-Sugar Land, TX;Houston;1,991;3,884,885;144;4;0;0;PopEst00
Houston-The Woodlands-Sugar Land, TX;Houston;1,992;3,989,770;150;6;0;0;PopEst00
Houston-The Woodlands-Sugar Land, TX;Houston;1,993;4,075,564;156;9;0;0;PopEst00
Houston-The Woodlands-Sugar Land, TX;Houston;1,994;4,153,355;160;11;0;0;PopEst00
Houston-The Woodlands-Sugar Land, TX;Houston;1,995;4,227,574;165;13;0;0;PopEst00
Houston-The Woodlands-Sugar Land, TX;Houston;1,996;4,314,589;171;15;0;0;PopEst00
Houston-The Woodlands-Sugar Land, TX;Houston;1,997;4,407,210;176;17;0;0;PopEst00
Houston-The Woodlands-Sugar Land, TX;Houston;1,998;4,513,913;183;20;0;0;PopEst00
Houston-The Woodlands-Sugar Land, TX;Houston;1,999;4,622,857;190;23;0;0;PopEst00
Houston-The Woodlands-Sugar Land, TX;Houston;2,000;4,693,161;194;25;0;0;DecennialCensus
Houston-The Woodlands-Sugar Land, TX;Houston;2,001;4,817,815;202;28;3;0;PopEst10
Houston-The Woodlands-Sugar Land, TX;Houston;2,002;4,937,081;210;32;5;0;PopEst10
Houston-The Woodlands-Sugar Land, TX;Houston;2,003;5,036,393;216;34;7;0;PopEst10
Houston-The Woodlands-Sugar Land, TX;Houston;2,004;5,132,602;222;37;9;0;PopEst10
Houston-The Woodlands-Sugar Land, TX;Houston;2,005;5,233,729;228;40;12;0;PopEst10
Houston-The Woodlands-Sugar Land, TX;Houston;2,006;5,423,615;240;45;16;0;PopEst10
Houston-The Woodlands-Sugar Land, TX;Houston;2,007;5,540,882;247;48;18;0;PopEst10
Houston-The Woodlands-Sugar Land, TX;Houston;2,008;5,676,381;256;51;21;0;PopEst10
Houston-The Woodlands-Sugar Land, TX;Houston;2,009;5,826,108;265;55;24;0;PopEst10
Houston-The Woodlands-Sugar Land, TX;Houston;2,010;5,920,416;271;58;26;0;DecennialCensus
Houston-The Woodlands-Sugar Land, TX;Houston;2,011;6,056,193;280;61;29;2;PopEst20
Houston-The Woodlands-Sugar Land, TX;Houston;2,012;6,183,531;288;65;32;4;PopEst20
Houston-The Woodlands-Sugar Land, TX;Houston;2,013;6,328,208;297;69;35;7;PopEst20
Houston-The Woodlands-Sugar Land, TX;Houston;2,014;6,500,199;308;73;39;10;PopEst20
Houston-The Woodlands-Sugar Land, TX;Houston;2,015;6,671,808;318;78;42;13;PopEst20
Houston-The Woodlands-Sugar Land, TX;Houston;2,016;6,806,503;327;81;45;15;PopEst20
Houston-The Woodlands-Sugar Land, TX;Houston;2,017;6,900,090;333;84;47;17;PopEst20
Houston-The Woodlands-Sugar Land, TX;Houston;2,018;6,976,147;337;86;49;18;PopEst20
